text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,user_location,num_followers,search_keywords,search_neighbourhood
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.' https://t.co/i7pJHiDII6  #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/Hk6JzgPFYD,2023-12-27 13:13:29.327168,1740085153366421989,2023-12-27 19:00:04+00:00,0,0,0,0,,,CannesVibe,"Cannes, France",16684,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"being from the central belt is a crime, there is no way some of you actually think Aberdeen is the highlands !",2023-12-27 13:13:29.327202,1740076944387944728,2023-12-27 18:27:27+00:00,4,0,4,0,,,georger__,AB 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,1491,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
FOLLOW THE DEAD (Shortlisted for Scottish Crime Book of the Year) 'The scenes in the Highlands are vividly written and the attention to detail is remarkable. This is a gripping read and highly recommended' https://t.co/xirKJf3sQ6  #CrimeFiction #Thriller #LinAnderson #CSI https://t.co/J335yRtnVv,2023-12-27 13:13:29.327212,1739979461691322789,2023-12-27 12:00:05+00:00,1,1,22,28,,,Dunedin_Media,"Edinburgh, Scotland",19048,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.' https://t.co/ghKyeFoNTl  #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/QDKMuqv87D,2023-12-27 13:13:29.327221,1739707696046014532,2023-12-26 18:00:11+00:00,0,0,1,2,,,Mystery_Tomes,On the case,28065,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.' https://t.co/AfLsxmjDVN  #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/pberTutPMm,2023-12-27 13:13:29.327230,1739174148440551929,2023-12-25 06:40:03+00:00,1,1,26,34,,,LeftyPleb,Northumberland,4153,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@LTCMDR_ @vic_socialists So the Zionists take a little longer to kill people than they need to. Well bully for them. Let's not forget that the West Bank, Gaza, Shebaa Farms and Golan are illegally occupied by Israel. They have no right to be there are all. Their very presence is a crime. #FreeBethlehem",2023-12-27 13:13:29.327241,1739064760371421479,2023-12-24 23:25:23+00:00,1,0,0,0,,,zohomedia,,7,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"-How to give a meaningful apology when it’s needed  Christmas message for popham, Elections BC LAPS &amp; Saanich, VIC PD for Robert Park I am NOT a sex offender/predator - see popham's crime: “I’m sorry, that didn’t even occur to me. You’re right. I’ll  not to do that again. https://t.co/qzAHcAUn2k",2023-12-27 13:13:29.327251,1738972862902624267,2023-12-24 17:20:13+00:00,0,0,0,0,,,BookDuke,Between the pages,31922,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.'  https://t.co/Sr21bT3qEs #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/EjJXefI9GA,2023-12-27 13:13:29.327259,1738952704511078677,2023-12-24 16:00:07+00:00,0,0,0,0,,,SpacChad,ᴄʀʏᴘᴛᴏ ɪꜱ ʟᴇᴠᴇʀᴀɢᴇᴅ ꜱʜɪᴛ ʙᴇᴛᴀ,1409,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
FOLLOW THE DEAD (Shortlisted for Scottish Crime Book of the Year) 'The scenes in the Highlands are vividly written and the attention to detail is remarkable. This is a gripping read and highly recommended' https://t.co/n47kwtUKBB  #CrimeFiction #Thriller #LinAnderson #CSI https://t.co/vOKCy2TJIj,2023-12-27 13:13:29.327267,1738809232865071464,2023-12-24 06:30:01+00:00,0,0,0,0,,,alexcorpuz22,,15,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.'  https://t.co/Sr21bT3qEs  #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/F8C8ggYGwi,2023-12-27 13:13:29.327275,1738806755188994340,2023-12-24 06:20:10+00:00,0,0,0,0,,,bradenalee63187,,0,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
@Room641_A @rjordan478 @zerosum24 This is the highlands right? I would absolutely lose my freaking mind. I lived all over dtown in my 20’s and it was clean and almost no crime. Last I visited I saw tents everywhere and now this…sad.,2023-12-27 13:13:29.327284,1738714137256206397,2023-12-24 00:12:08+00:00,1,0,4,0,,,PaitynoP,Chicago,1,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Busted Newspaper Florida Highlands County mugshots https://t.co/xFjNBglOIC Marrero Jiannii arrested 2023-12-23 Today arrest records, charges of people arrested in Florida Highlands County Busted, newspaper, mugshot, mugshots, arrest, mugs, crime, booking, reports, jail roster… https://t.co/on3zgxc9GN",2023-12-27 13:13:29.327292,1738660275212181626,2023-12-23 20:38:07+00:00,0,0,0,0,,,NST_Online,Malaysia,808436,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"DOWNLOAD Highlander’s Secret Wife: A Steamy Scottish Medieval Historical Romance (Highlands’ Partners in Crime) by  Olivia Kerr
▶ https://t.co/5POysHqflb
[GET] Highlander’s Secret Wife: A Steamy Scottish Medieval Historical Romance (Highlands’ Partners in Crime) by https://t.co/GJqFTfSI7i",2023-12-27 13:13:29.327300,1738602935175795022,2023-12-23 16:50:16+00:00,0,0,0,0,,,EMS1,,26704,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
THE PARTY HOUSE - 'This will appeal to fans of psychological thrillers and crime and mystery readers who are likely to love being immersed in the Scottish Highlands location.' https://t.co/Sr21bT3qEs  #CrimeFiction #Thriller #ThePartyHouse #PartyHouseBook #LinAnderson https://t.co/kU4FAf4OUx,2023-12-27 13:13:29.327308,1738590336367145144,2023-12-23 16:00:12+00:00,0,0,29,39,,,FireRescue1,"Frisco, Texas",44573,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"[GET] EBOOK EPUB KINDLE PDF To Love a Highland Rebel: A Steamy Scottish Medieval Historical Romance (Highlands’ Partners in Crime) by  Olivia Kerr 📌
⚡ https://t.co/6aQGQeLPye
[GET] To Love a Highland Rebel: A Steamy Scottish Medieval Historical Romance (Highlands https://t.co/HnGzfuN1Eo",2023-12-27 13:13:29.327316,1738484935516922181,2023-12-23 09:01:22+00:00,0,0,0,0,,,ElPresidenTroll,"Louisville, KY",2389,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR our place society OR victoria native friendship centre OR island health OR united way southern vancouver island OR greater victoria acting together OR victoria foundation OR aechr OR pacifica housing OR umbrella society OR unhoused OR crime) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@Joe_Highlands @hollowearthterf Exactly, the only violence most women get is when they give men any chance to enter their lives and enter their safety zones or are already in their zone, like fathers and brothers, the so called men that are called protectors.",2023-12-27 13:13:32.225554,1739962366953971927,2023-12-27 10:52:09+00:00,0,0,0,0,,,sasan_the_great,,7,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR pacifica housing OR victoria police department OR makola housing society OR vancouver island mental health society OR greater victoria placemaking network OR tourism vancouver island OR alliance to end homelessness in the capital region OR salvation army OR victoria native friendship centre OR violence OR drugs) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@Joe_Highlands @avengerandz @KazuroWeisemann @Voidsspace WOMEN CANT NOT INVOKE VIOLENCE ON A LARGE ENOUGH SCALE TO ALTER SOCIETY THAT WILL VIOLENTLY REFUSE TO BENDER TO A WOMENS IDEALS.

on a microcosm women can’t even invoke violence in minute issue. This is why Men rule the world",2023-12-27 13:13:32.225581,1739457804807573531,2023-12-26 01:27:12+00:00,1,0,0,0,,,Dragginballzzzs,,214,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR pacifica housing OR victoria police department OR makola housing society OR vancouver island mental health society OR greater victoria placemaking network OR tourism vancouver island OR alliance to end homelessness in the capital region OR salvation army OR victoria native friendship centre OR violence OR drugs) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@Joe_Highlands @avengerandz @KazuroWeisemann @Voidsspace This has nothing to do with the topic at hand. 
DUMBASS THINK CRITICALLY.

When conflicts of ideas happen in humanity what has ALWAYS been our final solution. WAR!!! Violence!!!

No ideal can survive without violence or the threat of it to ensure it",2023-12-27 13:13:32.225589,1739457190027530699,2023-12-26 01:24:46+00:00,1,0,0,0,,,TempMental,,681,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR pacifica housing OR victoria police department OR makola housing society OR vancouver island mental health society OR greater victoria placemaking network OR tourism vancouver island OR alliance to end homelessness in the capital region OR salvation army OR victoria native friendship centre OR violence OR drugs) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
@Joe_Highlands @SaysSimulation Please give me any sources that show that every group of policing household violence was vast majority women lmao you're making things up on the internet.,2023-12-27 13:13:32.225596,1739422406513754250,2023-12-25 23:06:33+00:00,1,0,0,0,,,Venus665422961,"CA, TX, Europe & The Universe",835,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR pacifica housing OR victoria police department OR makola housing society OR vancouver island mental health society OR greater victoria placemaking network OR tourism vancouver island OR alliance to end homelessness in the capital region OR salvation army OR victoria native friendship centre OR violence OR drugs) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@1andonlycamille @Joe_Highlands @BeyondZenny @KazuroWeisemann @Voidsspace You only have the capability of violence when you manipulate and fool men.

Sounds like a pathetic existence",2023-12-27 13:13:32.225609,1739348782465110354,2023-12-25 18:13:59+00:00,0,0,0,0,,,albedobell,Between thin ice and hot water,588,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR pacifica housing OR victoria police department OR makola housing society OR vancouver island mental health society OR greater victoria placemaking network OR tourism vancouver island OR alliance to end homelessness in the capital region OR salvation army OR victoria native friendship centre OR violence OR drugs) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
